campaign_id,campaign_name,platform,status,target_cac_vnd,campaign_age_days,is_still_active,total_spend,total_installs,total_clicks,total_impressions,total_attributed_revenue,blended_cac,overall_ctr,mature_ltv_per_user,retention_d7,mature_cohort_count,has_ltv_tracking,has_mature_ltv_data,ltv_data_status,cac_vs_target_pct,mature_ltv_cac,cac_efficiency_score,ltv_cac_score,retention_score,health_score,score_components_used,recommended_action
CAMP_012,Gaming Vertical TikTok,TikTok,Active,7800,57,True,47700000,10919,35770,3315000,109190000,4368.53,0.0108,11646.88,48.74,7.0,True,True,Mature Available,-43.99,2.67,130.0,88.87,97.48,107.5,3.0,Scale
CAMP_014,E-Sports Partnership,TikTok,Active,8200,52,True,34500000,7757,25875,2090000,77570000,4447.6,0.0124,11058.84,50.45,6.0,True,True,Mature Available,-45.76,2.49,130.0,82.88,100.89,106.2,3.0,Scale
CAMP_010,Premium User Upsell,Facebook,Active,14000,58,True,50100000,3755,12520,1535000,131425000,13342.21,0.0082,,,,False,False,No LTV Tracking,-4.7,,104.93,,,104.9,1.0,Optimize
CAMP_011,Influencer Partnership,Instagram,Active,25000,54,True,42000000,4639,11580,2700000,162365000,9053.68,0.0043,16159.3,53.83,6.0,True,True,Mature Available,-63.79,1.78,130.0,59.49,107.66,99.7,3.0,Scale
CAMP_008,App Install - Mid Market,Google Ads,Active,12500,60,True,48600000,3777,13540,1083000,94425000,12867.36,0.0125,,,,False,False,No LTV Tracking,2.94,,97.15,,,97.1,1.0,Optimize
CAMP_003,TikTok Creator Collab,TikTok,Active,7500,63,True,92050000,20768,69185,5880000,207680000,4432.3,0.0118,8886.66,39.28,9.0,True,True,Mature Available,-40.9,2.0,130.0,66.83,78.56,95.0,3.0,Scale
CAMP_005,Lookalike Converters,Facebook,Active,13000,63,True,96700000,7255,24170,2217000,253925000,13328.74,0.0109,27221.82,59.06,9.0,True,True,Mature Available,2.53,2.04,97.53,68.08,118.12,92.4,3.0,Scale
CAMP_013,Weekend Flash Sale,Facebook,Active,12000,54,True,70000000,5234,17495,1749500,78510000,13374.09,0.01,,,,False,False,No LTV Tracking,11.45,,89.73,,,89.7,1.0,Optimize
CAMP_004,Stories Retargeting,Instagram,Active,10000,63,False,39100000,4179,11215,2290000,146265000,9356.31,0.0049,16123.78,52.6,9.0,True,True,Mature Available,-6.44,1.72,106.88,57.44,105.2,89.2,3.0,Scale
CAMP_002,Search - Install App,Google Ads,Active,12000,63,True,73800000,5765,20515,1060500,144125000,12801.39,0.0193,21676.38,56.13,9.0,True,True,Mature Available,6.68,1.69,93.74,56.44,112.26,85.3,3.0,Scale
CAMP_009,DM Stories Ad,Instagram,Active,10500,60,True,24700000,2223,7410,1465000,77805000,11111.11,0.0051,12760.32,48.44,7.0,True,True,Mature Available,5.82,1.15,94.5,38.28,96.89,75.4,3.0,Scale
CAMP_001,Summer Sale Awareness,Facebook,Active,15000,63,True,135900000,8804,34065,3402500,132060000,15436.17,0.01,11698.03,46.83,9.0,True,True,Mature Available,2.91,0.76,97.17,25.26,93.67,71.1,3.0,Maintain
CAMP_006,YouTube In-stream,Google Ads,Active,8000,63,True,55150000,5015,16915,3805000,150450000,10997.01,0.0044,13130.2,46.51,9.0,True,True,Mature Available,37.46,1.19,72.75,39.8,93.03,66.3,3.0,Maintain
CAMP_007,New Market - Da Nang,Facebook,Active,14000,60,True,64100000,3846,16020,2015000,57690000,16666.67,0.008,10004.26,42.54,8.0,True,True,Mature Available,19.05,0.6,84.0,20.01,85.09,61.9,3.0,Maintain
