cohort_week,platform,campaign_id,campaign_name,cohort_size,D1_revenue_per_user,D7_revenue_per_user,D30_revenue_per_user,D90_revenue_per_user,retention_D1_pct,retention_D7_pct,retention_D30_pct,weekly_spend_vnd,weekly_installs,weekly_cac,cohort_age_days,matured_d90,matured_d30,matured_d7,matured_d1,best_ltv_per_user,best_ltv_window,cohort_maturity,ltv_cac_ratio
2024-06-01,Facebook,CAMP_001,Summer Sale Awareness,325,3200,6800,15000,18500,80,45,22,31000000.0,2020.0,15346.53,63,False,True,True,True,15000.0,D30,Mature (D30),0.98
2024-06-01,Google Ads,CAMP_002,Search - Install App,245,5200,11500,28000,36500,84,52,31,16150000.0,1256.0,12858.28,63,False,True,True,True,28000.0,D30,Mature (D30),2.18
2024-06-01,TikTok,CAMP_003,TikTok Creator Collab,635,2800,5600,11200,13800,75,38,18,16550000.0,3775.0,4384.11,63,False,True,True,True,11200.0,D30,Mature (D30),2.55
2024-06-01,Instagram,CAMP_004,Stories Retargeting,156,4200,9100,22000,28500,82,48,28,6600000.0,687.0,9606.99,63,False,True,True,True,22000.0,D30,Mature (D30),2.29
2024-06-01,Facebook,CAMP_005,Lookalike Converters,312,6500,14200,35000,45500,85,55,35,21600000.0,1621.0,13325.11,63,False,True,True,True,35000.0,D30,Mature (D30),2.63
2024-06-01,Google Ads,CAMP_006,YouTube In-stream,189,3800,7800,16500,20500,78,42,20,8650000.0,788.0,10977.16,63,False,True,True,True,16500.0,D30,Mature (D30),1.5
2024-06-08,Facebook,CAMP_001,Summer Sale Awareness,332,3300,7000,15500,19000,81,46,23,16100000.0,1035.0,15555.56,56,False,True,True,True,15500.0,D30,Mature (D30),1.0
2024-06-08,Google Ads,CAMP_002,Search - Install App,240,5300,11800,28500,37000,85,53,32,6550000.0,484.0,13533.06,56,False,True,True,True,28500.0,D30,Mature (D30),2.11
2024-06-08,TikTok,CAMP_003,TikTok Creator Collab,665,2700,5400,10800,13200,74,37,17,11200000.0,2529.0,4428.63,56,False,True,True,True,10800.0,D30,Mature (D30),2.44
2024-06-08,Instagram,CAMP_004,Stories Retargeting,165,4300,9300,22500,29000,83,49,29,3900000.0,411.0,9489.05,56,False,True,True,True,22500.0,D30,Mature (D30),2.37
2024-06-08,Facebook,CAMP_005,Lookalike Converters,310,6600,14500,35500,46000,86,56,36,9000000.0,674.0,13353.12,56,False,True,True,True,35500.0,D30,Mature (D30),2.66
2024-06-08,Google Ads,CAMP_006,YouTube In-stream,184,3900,8000,17000,21000,79,43,21,4900000.0,453.0,10816.78,56,False,True,True,True,17000.0,D30,Mature (D30),1.57
2024-06-08,Facebook,CAMP_007,New Market - Da Nang,210,2800,5800,12500,15500,76,39,19,7500000.0,450.0,16666.67,56,False,True,True,True,12500.0,D30,Mature (D30),0.75
2024-06-08,Instagram,CAMP_009,DM Stories Ad,117,3900,8200,19500,25000,81,45,26,1400000.0,126.0,11111.11,56,False,True,True,True,19500.0,D30,Mature (D30),1.76
2024-06-15,Facebook,CAMP_001,Summer Sale Awareness,350,3200,6900,15200,18700,80,45,22,16200000.0,1052.0,15399.24,49,False,True,True,True,15200.0,D30,Mature (D30),0.99
2024-06-15,Google Ads,CAMP_002,Search - Install App,253,5400,12000,29000,37500,86,54,33,10100000.0,805.0,12546.58,49,False,True,True,True,29000.0,D30,Mature (D30),2.31
2024-06-15,TikTok,CAMP_003,TikTok Creator Collab,615,2900,5700,11500,14200,76,39,19,7800000.0,1754.0,4446.98,49,False,True,True,True,11500.0,D30,Mature (D30),2.59
2024-06-15,Instagram,CAMP_004,Stories Retargeting,177,4400,9500,23000,29500,84,50,30,4300000.0,456.0,9429.82,49,False,True,True,True,23000.0,D30,Mature (D30),2.44
2024-06-15,Facebook,CAMP_005,Lookalike Converters,324,6700,14800,36200,47000,87,57,37,8900000.0,668.0,13323.35,49,False,True,True,True,36200.0,D30,Mature (D30),2.72
2024-06-15,Google Ads,CAMP_006,YouTube In-stream,208,4000,8200,17500,21500,80,44,22,2600000.0,240.0,10833.33,49,False,True,True,True,17500.0,D30,Mature (D30),1.62
2024-06-15,Facebook,CAMP_007,New Market - Da Nang,234,2900,6000,13000,16000,77,40,20,7600000.0,456.0,16666.67,49,False,True,True,True,13000.0,D30,Mature (D30),0.78
2024-06-15,Instagram,CAMP_011,Influencer Partnership,232,5100,11200,27000,35000,83,51,32,4700000.0,515.0,9126.21,49,False,True,True,True,27000.0,D30,Mature (D30),2.96
2024-06-15,TikTok,CAMP_012,Gaming Vertical TikTok,696,3500,7200,15500,19500,78,45,24,3400000.0,765.0,4444.44,49,False,True,True,True,15500.0,D30,Mature (D30),3.49
2024-06-22,Facebook,CAMP_001,Summer Sale Awareness,320,3300,7100,15800,19200,81,46,23,10500000.0,671.0,15648.29,42,False,True,True,True,15800.0,D30,Mature (D30),1.01
2024-06-22,Google Ads,CAMP_002,Search - Install App,231,5500,12200,29500,38000,87,55,34,6400000.0,482.0,13278.01,42,False,True,True,True,29500.0,D30,Mature (D30),2.22
2024-06-22,TikTok,CAMP_003,TikTok Creator Collab,654,2800,5500,11000,13500,75,38,18,10600000.0,2384.0,4446.31,42,False,True,True,True,11000.0,D30,Mature (D30),2.47
2024-06-22,Instagram,CAMP_004,Stories Retargeting,210,4500,9700,23500,30000,85,51,31,2300000.0,247.0,9311.74,42,False,True,True,True,23500.0,D30,Mature (D30),2.52
2024-06-22,Facebook,CAMP_005,Lookalike Converters,351,6800,15000,37000,48000,88,58,38,13100000.0,983.0,13326.55,42,False,True,True,True,37000.0,D30,Mature (D30),2.78
2024-06-22,Google Ads,CAMP_006,YouTube In-stream,243,4100,8400,18000,22000,81,45,23,5500000.0,501.0,10978.04,42,False,True,True,True,18000.0,D30,Mature (D30),1.64
2024-06-22,Facebook,CAMP_007,New Market - Da Nang,228,3000,6200,13500,16500,78,41,21,7400000.0,444.0,16666.67,42,False,True,True,True,13500.0,D30,Mature (D30),0.81
2024-06-22,Instagram,CAMP_009,DM Stories Ad,126,4000,8400,20000,25500,82,46,27,3300000.0,297.0,11111.11,42,False,True,True,True,20000.0,D30,Mature (D30),1.8
2024-06-22,TikTok,CAMP_012,Gaming Vertical TikTok,744,3600,7400,16000,20000,79,46,25,6300000.0,1464.0,4303.28,42,False,True,True,True,16000.0,D30,Mature (D30),3.72
2024-06-22,TikTok,CAMP_014,E-Sports Partnership,540,3700,7600,16200,20500,80,47,26,2700000.0,607.0,4448.11,42,False,True,True,True,16200.0,D30,Mature (D30),3.64
2024-06-29,Facebook,CAMP_001,Summer Sale Awareness,364,3200,6800,15000,18500,80,45,22,16400000.0,1059.0,15486.31,35,False,True,True,True,15000.0,D30,Mature (D30),0.97
